phase,rail,width,trades,pnl,pf,win,dd,sharpe,long_pf,short_pf,long_pnl,short_pnl,bad_context,low_mfe,high_capture,low_capture
1B,2.45,8,411,2953.8341730305815,1.0627504829401213,0.5547445255474452,-0.3836998520400343,0.30534775148149434,1.1880660287967344,0.9488252100450987,4215.64653221593,-1261.812359185349,183,68,126,17
1B,2.45,9,350,4945.58891384468,1.1232517719645756,0.5628571428571428,-0.22576012783153232,0.43529112884073506,1.1613152033306726,1.085922364610046,3204.949136728234,1740.6397771164463,153,59,108,15
1B,2.45,10,281,4973.338594470071,1.1676908792801135,0.5622775800711743,-0.24245988577197997,0.47470734314572277,1.029930886746235,1.3460879501897314,500.8907365172105,4472.447857952861,123,49,82,12
1B,2.45,11,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,0.4376682709989572,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44,56,6
1B,2.45,14,80,1619.8311494729614,1.2265725758213333,0.575,-0.1374966310087381,0.3055749519199219,0.9694998885386091,1.594590218009886,-128.37772909600466,1748.208878568966,34,16,19,4
1B,2.45,16,49,2820.0721762699905,1.7429142926790122,0.6326530612244898,-0.09109621381165645,0.5272537231052069,1.4544507145280448,2.028184790239712,857.7377327958019,1962.3344434741887,18,10,14,2
1B,2.5,8,407,2104.6272010029297,1.0458449724227297,0.5503685503685504,-0.4187285228170622,0.2515285470029346,1.1662040482194782,0.9359589619546337,3641.4730193937817,-1536.8458183908522,183,67,125,18
1B,2.5,9,347,4744.509903335235,1.1189058788733406,0.5619596541786743,-0.24340511202984783,0.4143653004166366,1.1371557231214018,1.1007380836518068,2730.187024940422,2014.3228783948136,152,58,108,16
1B,2.5,10,278,4965.524688250257,1.1671807481973278,0.5611510791366906,-0.22321974113263487,0.45946808061155214,1.007914654190973,1.3792002996720694,134.23895964855717,4831.285728601701,122,48,83,13
1B,2.5,11,201,3869.2552139039503,1.1776491373222029,0.5671641791044776,-0.21996812788019593,0.4265000455949713,1.146001586628886,1.2136802059796634,1692.9631367761824,2176.292077127768,87,43,56,7
1B,2.5,14,80,1925.3463037285235,1.2652547177336968,0.5875,-0.12080947347832693,0.3207161222914586,0.9713723328097968,1.7042797287364642,-124.47205410229364,2049.818357830817,33,15,19,4
1B,2.5,16,49,3177.730414210261,1.8405805168895524,0.6530612244897959,-0.12080947347831683,0.5103609233992309,1.454485426955452,2.253298819332514,887.6997230362903,2290.030691173971,17,9,14,2
